Model,Language,Modularity
FastText,Arabic,0.6163299562
FastText,Bulgarian,0.6560458006
FastText,Catalan,0.695761645
FastText,Croatian,0.6073376896
FastText,Czech,0.6837719561
FastText,Danish,0.668784845
FastText,Dutch,0.7055032672
FastText,English,0.7055032672
FastText,Estonian,0.7429710449
FastText,Finnish,0.7077513339
FastText,French,0.682273245
FastText,Greek,0.7152448894
FastText,Hebrew,0.3937713566
FastText,Hungarian,0.7414723338
FastText,Indonesian,0.6635393562
FastText,Italian,0.6537977339
FastText,Macedonian,0.6980097116
FastText,Norwegian,0.6740303339
FastText,Polish,0.7294826449
FastText,Portuguese,0.7294826449
FastText,Romanian,0.6095857562
FastText,Russian,0.5871050896
FastText,Slovak,0.6253222229
FastText,Slovenian,0.7332294227
FastText,Spanish,0.7227384449
FastText,Swedish,0.5908518674
FastText,Turkish,0.7467178227
FastText,Ukrainian,0.757958156
FastText,Vietnamese,0.3757868233
MUSE,Arabic,0.6155806007
MUSE,Bulgarian,0.6597925784
MUSE,Catalan,0.6597925784
MUSE,Croatian,0.6005934896
MUSE,Czech,0.6777771117
MUSE,Danish,0.6388106229
MUSE,Dutch,0.6777771117
MUSE,English,0.7212397338
MUSE,Estonian,0.7152448894
MUSE,Finnish,0.640309334
MUSE,French,0.6867693783
MUSE,Greek,0.6815238895
MUSE,Hebrew,0.36454649
MUSE,Hungarian,0.724237156
MUSE,Indonesian,0.6642887117
MUSE,Italian,0.6597925784
MUSE,Macedonian,0.6410586895
MUSE,Norwegian,0.6605419339
MUSE,Polish,0.695761645
MUSE,Portuguese,0.6845213117
MUSE,Romanian,0.5908518674
MUSE,Russian,0.6837719561
MUSE,Slovak,0.6050896229
MUSE,Slovenian,0.6845213117
MUSE,Spanish,0.7219890894
MUSE,Swedish,0.6350638451
MUSE,Turkish,0.724237156
MUSE,Ukrainian,0.7077513339
MUSE,Vietnamese,0.4739524009
subs2vec,Arabic,0.3742881122
Subs2Vec,Bulgarian,0.7332294227
Subs2Vec,Catalan,0.6170793118
Subs2Vec,Croatian,0.6807745339
Subs2Vec,Czech,0.6980097116
Subs2Vec,Danish,0.709250045
Subs2Vec,Dutch,0.820154667
Subs2Vec,English,0.7010071339
Subs2Vec,Estonian,0.6148312451
Subs2Vec,Finnish,0.3495593789
Subs2Vec,French,0.7654517115
Subs2Vec,Greek,0.3727894011
Subs2Vec,Hebrew,0.3495593789
Subs2Vec,Hungarian,0.6897668006
Subs2Vec,Indonesian,0.7384749116
Subs2Vec,Italian,0.7249865116
Subs2Vec,Macedonian,0.689017445
Subs2Vec,Norwegian,0.7234878005
Subs2Vec,Polish,0.7257358672
Subs2Vec,Portuguese,0.7691984893
Subs2Vec,Romanian,0.6860200228
Subs2Vec,Russian,0.3495593789
Subs2Vec,Slovak,0.6560458006
Subs2Vec,Slovenian,0.7819375337
Subs2Vec,Spanish,0.3975181344
Subs2Vec,Swedish,0.7542113782
Subs2Vec,Turkish,0.6088364007
Subs2Vec,Ukrainian,0.6043402674
Subs2Vec,Vietnamese,0.5316527786
