Model,Language,Modularity
FastText,Arabic,0.7781907559
FastText,Bulgarian,0.7886817337
FastText,Catalan,0.8366404892
FastText,Croatian,0.7706972004
FastText,Czech,0.8081649781
FastText,Danish,0.793177867
FastText,Dutch,0.8126611114
FastText,English,0.8126611114
FastText,Estonian,0.8456327558
FastText,Finnish,0.8351417781
FastText,French,0.8246508003
FastText,Greek,0.8321443559
FastText,Hebrew,0.6178286673
FastText,Hungarian,0.8426353336
FastText,Indonesian,0.8021701337
FastText,Italian,0.806666267
FastText,Macedonian,0.8246508003
FastText,Norwegian,0.8171572448
FastText,Polish,0.8681134225
FastText,Portuguese,0.8681134225
FastText,Romanian,0.7632036449
FastText,Russian,0.7587075115
FastText,Slovak,0.7676997782
FastText,Slovenian,0.8636172891
FastText,Spanish,0.8591211558
FastText,Swedish,0.7422216893
FastText,Turkish,0.8501288892
FastText,Ukrainian,0.8786044002
FastText,Vietnamese,0.6223248007
MUSE,Arabic,0.7572088004
MUSE,Bulgarian,0.7856843115
MUSE,Catalan,0.7856843115
MUSE,Croatian,0.7527126671
MUSE,Czech,0.7961752893
MUSE,Danish,0.7632036449
MUSE,Dutch,0.7781907559
MUSE,English,0.8351417781
MUSE,Estonian,0.8171572448
MUSE,Finnish,0.7482165338
MUSE,French,0.8171572448
MUSE,Greek,0.7572088004
MUSE,Hebrew,0.4304897788
MUSE,Hungarian,0.8366404892
MUSE,Indonesian,0.8096636892
MUSE,Italian,0.8081649781
MUSE,Macedonian,0.7347281338
MUSE,Norwegian,0.8021701337
MUSE,Polish,0.806666267
MUSE,Portuguese,0.8081649781
MUSE,Romanian,0.7212397338
MUSE,Russian,0.7676997782
MUSE,Slovak,0.7122474672
MUSE,Slovenian,0.7886817337
MUSE,Spanish,0.8681134225
MUSE,Swedish,0.7572088004
MUSE,Turkish,0.8261495114
MUSE,Ukrainian,0.8396379114
MUSE,Vietnamese,0.7002577783
subs2vec,Arabic,0.6013428452
subs2vec,Bulgarian,0.8681134225
subs2vec,Catalan,0.7527126671
subs2vec,Croatian,0.820154667
subs2vec,Czech,0.820154667
subs2vec,Danish,0.8246508003
subs2vec,Dutch,0.8935915113
subs2vec,English,0.8261495114
subs2vec,Estonian,0.764702356
subs2vec,Finnish,0.5788621785
subs2vec,French,0.862118578
subs2vec,Greek,0.5803608896
subs2vec,Hebrew,0.6028415563
subs2vec,Hungarian,0.8081649781
subs2vec,Indonesian,0.8501288892
subs2vec,Italian,0.8366404892
subs2vec,Macedonian,0.8111624003
subs2vec,Norwegian,0.8261495114
subs2vec,Polish,0.8561237336
subs2vec,Portuguese,0.875606978
subs2vec,Romanian,0.8111624003
subs2vec,Russian,0.5488879564
subs2vec,Slovak,0.8081649781
subs2vec,Slovenian,0.8801031113
subs2vec,Spanish,0.6208260896
subs2vec,Swedish,0.8471314669
subs2vec,Turkish,0.7721959115
subs2vec,Ukrainian,0.7662010671
subs2vec,Vietnamese,0.7167436005
