Model,Language,Modularity
FastText,Arabic,0.765755796
FastText,Bulgarian,0.8030037522
FastText,Catalan,0.7843761942
FastText,Croatian,0.7460225369
FastText,Czech,0.8080749684
FastText,Danish,0.7965551643
FastText,Dutch,0.7906525077
FastText,English,0.5945907936
FastText,Estonian,0.7983508981
FastText,Finnish,0.7951903633
FastText,French,0.7427622368
FastText,Greek,0.7940159697
FastText,Hebrew,0.7482239835
FastText,Hungarian,0.8125186431
FastText,Indonesian,0.7776581606
FastText,Italian,0.7755871403
FastText,Macedonian,0.8012475854
FastText,Norwegian,0.7900186624
FastText,Polish,0.7969058258
FastText,Portuguese,0.7841783772
FastText,Romanian,0.7674460053
FastText,Russian,0.6786389571
FastText,Slovak,0.7582944913
FastText,Slovenian,0.7815302579
FastText,Spanish,0.795085626
FastText,Swedish,0.715354787
FastText,Turkish,0.8000777569
FastText,Ukrainian,0.7993407698
FastText,Vietnamese,0.7486756344
MUSE,Arabic,0.7756855398
MUSE,Bulgarian,0.7998230752
MUSE,Catalan,0.797020634
MUSE,Croatian,0.7781472392
MUSE,Czech,0.8049325946
MUSE,Danish,0.7992050361
MUSE,Dutch,0.7916231085
MUSE,English,0.7825920158
MUSE,Estonian,0.819527578
MUSE,Finnish,0.8103985743
MUSE,French,0.8003545285
MUSE,Greek,0.8147643058
MUSE,Hebrew,0.5339957977
MUSE,Hungarian,0.8178874177
MUSE,Indonesian,0.7949281599
MUSE,Italian,0.7967398244
MUSE,Macedonian,0.8129919366
MUSE,Norwegian,0.7945190264
MUSE,Polish,0.8213795318
MUSE,Portuguese,0.7994715868
MUSE,Romanian,0.7891024039
MUSE,Russian,0.8278786367
MUSE,Slovak,0.7893432955
MUSE,Slovenian,0.793442069
MUSE,Spanish,0.7902856791
MUSE,Swedish,0.7988308998
MUSE,Turkish,0.8018735706
MUSE,Ukrainian,0.8204242775
MUSE,Vietnamese,0.7425169215
subs2vec,Arabic,0.7191533517
subs2vec,Bulgarian,0.8253854291
subs2vec,Catalan,0.7147623864
subs2vec,Croatian,0.7590713319
subs2vec,Czech,0.7808587593
subs2vec,Danish,0.7727706084
subs2vec,Dutch,0.8191855435
subs2vec,English,0.7479896231
subs2vec,Estonian,0.7175982317
subs2vec,Finnish,0.7673150517
subs2vec,French,0.794405489
subs2vec,Greek,0.7196334051
subs2vec,Hebrew,0.7166138578
subs2vec,Hungarian,0.7046361436
subs2vec,Indonesian,0.7936537114
subs2vec,Italian,0.7836978529
subs2vec,Macedonian,0.7489993555
subs2vec,Norwegian,0.769934943
subs2vec,Polish,0.7705825758
subs2vec,Portuguese,0.7984022322
subs2vec,Romanian,0.7727580984
subs2vec,Russian,0.7572923598
subs2vec,Slovak,0.8053194671
subs2vec,Slovenian,0.8297961552
subs2vec,Spanish,0.6994039341
subs2vec,Swedish,0.7949034064
subs2vec,Turkish,0.6332959539
subs2vec,Ukrainian,0.797969664
subs2vec,Vietnamese,0.7277059729
