Model,Language,Accuracy
FastText,Arabic,0.7612833333
FastText,Bulgarian,0.7718833333
FastText,Catalan,0.77695
FastText,Croatian,0.7657
FastText,Czech,0.7893666667
FastText,Danish,0.7819166667
FastText,Dutch,0.7795166667
FastText,English,0.7907666667
FastText,Estonian,0.7713666667
FastText,Finnish,0.7710666667
FastText,French,0.7894666667
FastText,Greek,0.7805833333
FastText,Hebrew,0.7759833333
FastText,Hungarian,0.7974
FastText,Indonesian,0.7942
FastText,Italian,0.7969833333
MUSE,Arabic,0.7597
MUSE,Bulgarian,0.7448833333
MUSE,Catalan,0.7526
MUSE,Croatian,0.7496166667
MUSE,Czech,0.7551833333
MUSE,Danish,0.7608166667
MUSE,Dutch,0.77185
MUSE,English,0.7956833333
MUSE,Estonian,0.752
MUSE,Finnish,0.7606166667
MUSE,French,0.7646333333
MUSE,Greek,0.7456333333
MUSE,Hebrew,0.7637
MUSE,Hungarian,0.7743166667
MUSE,Indonesian,0.7670833333
MUSE,Italian,0.77125
subs2vec,Arabic,0.7612833333
subs2vec,Bulgarian,0.7718833333
subs2vec,Catalan,0.77695
subs2vec,Croatian,0.7657
subs2vec,Czech,0.7893666667
subs2vec,Danish,0.7819166667
subs2vec,Dutch,0.7795166667
subs2vec,English,0.7907666667
subs2vec,Estonian,0.7713666667
subs2vec,Finnish,0.7710666667
subs2vec,French,0.7894666667
subs2vec,Greek,0.7805833333
subs2vec,Hebrew,0.7759833333
subs2vec,Hungarian,0.7974
subs2vec,Indonesian,0.7942
subs2vec,Italian,0.7969833333
